id,name,active,category,description,net,gross,weight,available
111114,"Etui pancerne Urban Armor UAG Plyo LT do iPad Air 11"" M3 7 gen. 2025 / M2 6 gen. 2024, czarne",1,Etui na tablet,"Etui Urban Armor Gear Plyo LT Apple iPad Air 11 M3 7 gen. 2025 (A3266, A3267, A3270)Apple iPad Air 11 M2 6 gen. 2024 (A2902, A2903, A2904) Pancerne etui na tablet Oryginalne etui z klapką od marki Urban Armor Gear z serii Plyo. Wykonane z połączenia wysokiej jakości wytrzymałych materiałów, takich jak poliwęglan oraz TPU. Wykończone skórą ekologiczną oraz wyściółką z mikrofibry. W pełni funkcjonalne, posiada uchwyt na rysik. Model ten został wydany przez producenta w wersji Bulk (zapakowany w folii ochronnej). Kolor producenta: Ice (czarny z przezroczystymi pleckami) Etui kompatybilne ze szkłami o wymiarach nieprzekraczających (dług.szer.przek.): 24,39 x 17,48 cm Pancerne i wytrzymałe Wysoka odporność na uderzenia i wstrząsy. Pokrowiec zabezpieczy Twoje urządzenie od upadków, dzięki wzmocnionym narożnikom oraz solidnym materiałom wykonania zapewniającą doskonałą ochronę podczas upadku. Funkcjonalne Etui posiada uchwyt na rysik, a dzięki przyjemnej w dotyku strukturze, z jakiej zostało wykonane etui, nie musisz się martwić o wyślizgnięcie etui z rąk. Przezroczyste plecki etui świetnie prezentują oryginalny wygląd urządzenia. Wygodne zamykanie w formie klapki umożliwia pozycjonowanie iPada w dogodnej pozycji do przeglądania multimediów, pisania czy wideo rozmów, a także chroni front urządzenia przed zarysowaniami. Logo firmy UAG dodaje oryginalności, a całość przy swojej solidnej budowie prezentuje się bardzo stylowo. Dopasowane do urządzenia Dobrze leży w dłoni, a lekko wystające krawędzie chronią kamerę i ekran przed zarysowaniami na płaskich powierzchniach. Precyzyjne wycięcia na porty i złącza. Cienkie i lekkie Nie pogrubia znacząco urządzenia. Jest maksymalnie cienkie dla tego typu konstrukcji, dzięki czemu zapewnia solidną ochronę, praktyczną lekkość i smukły wygląd.",161.79,199,0.2,9
89661,"Etui pancerne Urban Armor UAG Plyo LT do iPad 11"" (A16) 2025 / 10,9"" 10 gen. 2022, czarne",1,Etui na tablet,"Etui Urban Armor Gear Plyo LT Apple iPad 11 (A16) 11 gen. 2025 (A3354, A3355, A3356)Apple iPad 10,9 10 gen. 2022 (A2696, A2757, A2777) Pancerne etui na tablet Oryginalne etui z klapką od marki Urban Armor Gear z serii Plyo. Wykonane z połączenia wysokiej jakości wytrzymałych materiałów, takich jak poliwęglan oraz TPU. Wykończone skórą ekologiczną oraz wyściółką z mikrofibry. W pełni funkcjonalne, posiada uchwyt na rysik. Model ten został wydany przez producenta w wersji Bulk (zapakowany w folii ochronnej). Kolor producenta: Ice (czarny z przezroczystymi pleckami) Etui kompatybilne ze szkłami o wymiarach nieprzekraczających (dług.szer.przek.): 24,47 x 17,57 cm Pancerne i wytrzymałe Wysoka odporność na uderzenia i wstrząsy. Pokrowiec zabezpieczy Twoje urządzenie od upadków, dzięki wzmocnionym narożnikom oraz solidnym materiałom wykonania zapewniającą doskonałą ochronę podczas upadku. Funkcjonalne Etui posiada uchwyt na rysik, a dzięki przyjemnej w dotyku strukturze, z jakiej zostało wykonane etui, nie musisz się martwić o wyślizgnięcie etui z rąk. Przezroczyste plecki etui świetnie prezentują oryginalny wygląd urządzenia. Wygodne zamykanie w formie klapki umożliwia pozycjonowanie iPada w dogodnej pozycji do przeglądania multimediów, pisania czy wideo rozmów, a także chroni front urządzenia przed zarysowaniami. Logo firmy UAG dodaje oryginalności, a całość przy swojej solidnej budowie prezentuje się bardzo stylowo. Dopasowane do urządzenia Dobrze leży w dłoni, a lekko wystające krawędzie chronią kamerę i ekran przed zarysowaniami na płaskich powierzchniach. Precyzyjne wycięcia na porty i złącza. Cienkie i lekkie Nie pogrubia znacząco urządzenia. Jest maksymalnie cienkie dla tego typu konstrukcji, dzięki czemu zapewnia solidną ochronę, praktyczną lekkość i smukły wygląd.",121.14,149,0.2,9
24996,"Etui do iPad Pro 12.9 2022/2021, Spigen Ultra Hybrid Pro, przezroczyste / czarne",1,Etui na tablet,"Etui Spigen Ultra Hybrid Pro iPad Pro 12,9 6 gen. 2022 (A2436, A2764, A2437, A2766)iPad Pro 12,9 5 gen. 2021 (A2378, A2461, A2379, A2462) Hybrydowa konstrukcja Nowoczesne etui od marki Spigen z serii Ultra Hybrid Pro, wykonane z połączenia wysokiej jakości termoplastycznego poliuretanu oraz trwałego poliwęglanu. Hybrydowy pokrowiec z klapką o transparentnych pleckach, zapewniający solidną ochronę, stylowy wygląd oraz dobry chwyt. Posiada wygodny uchwyt na rysik Apple. Kolor producenta: Black Etui kompatybilne ze szkłami o wymiarach nie przekraczających (dług.szer.): 27,78 x 21,17 cm Doskonale dopasowane Nowoczesne etui Ultra Hybrid Pro z klapką z magnetycznym zamykaniem, zachowujące smukły profil urządzenia. Elegancka klapka zabezpiecza ekran przed zarysowaniami, a transparentne plecki ukazują oryginalny wygląd i kolor urządzenia. Stylowe etui z klapką Dobrze leży w dłoni, a lekko wystające krawędzie chronią kamerę i ekran przed zarysowaniami na płaskich powierzchniach. Wnętrze klapki zostało wykończone delikatną mikrofibrą, która stanowi dodatkowe zabezpieczenie dla ekranu. Precyzyjne wycięcia Zapewniają swobodny dostęp do wszystkich interfejsów urządzenia. Niezwykle funkcjonalne i wygodne w użytkowaniu. Posiada responsywne osłony na przyciski i wygodne wycięcia na porty. Dwupoziomowa funkcja Stand Dzięki składanej klapce możliwe jest ułożenie urządzenia w wygodnej pozycji zarówno do pisania czy rysowania, jak i do swobodnego przeglądania multimediów, co pozwoli Ci ułożyć iPada pod odpowiednim kątem w zależności od Twoich potrzeb. Wzmocniona konstrukcja Dzięki technologii Air Cushion, czyli poduszek powietrznych umiejscowionych w narożnikach zapewnia dodatkową ochronę od wstrząsów przy minimalnych gabarytach oraz wadze. Funkcjonalna klapka umożliwia wybudzanie i usypianie urządzenia podczas jej otwierania i zamykania. Nowoczesny design z uchwytem na rysik Spigen Ultra Hybrid Pro został wykończony transparentnymi pleckami nadając nowoczesnego stylu, nie zakrywając przy tym oryginalnego wyglądu urządzenia ani jego fabrycznego koloru. Dodatkowo posiada specjalnie zaprojektowany uchwyt na rysik.",194.31,239,0.2,2
17825,"Etui do iPad Pro 11 2022/2021/2020/2018, Spigen Urban Fit, czarne",1,Etui na tablet,"Etui Spigen Urban FitiPad Pro 11 4 gen. 2022 (A2759, A2435, A2761, A2762)iPad Pro 11 3 gen. 2021 (A2377, A2459, A2301, A2460)iPad Pro 11 2 gen. 2020 (A2228, A2068, A2230, A2231)iPad Pro 11 1 gen. 2018 (A1980, A2013, A1934, A1979) Wysoka jakość wykonania Eleganckie etui marki Spigen z serii Urban Fit, wykonane z połączenia mocnego i sztywnego poliwęglanu z tkaninowym wykończeniem. Wnętrze klapki posiada wyściółkę z delikatnej mikrofibry, która dodatkowo chroni ekran dotykowy przed zarysowaniami. Kolor producenta: Black *Szkło nie powinno nachodzić na etui, gdyż grozi to jego podważeniem **Wymiary etui do doboru szkła hartowanego (szer. dług. przek.): 17,68 x 24,56 x 29,26 cm Poliwęglanowa ochrona Solidne i wytrzymałe tworzywo poliwęglanowe skutecznie chroni przed zabrudzeniami i zarysowaniami, mogącymi powstać w wyniku codziennego użytkowania. Front i tył pokrowca wykończony został eleganckim splotem tkaniny o drobnym wzorze, dodając stylowego wyglądu. Dobrze dopasowane Wycięcia dla wszystkich portów oraz osłony przycisków zapewniają pełen dostęp do interfejsów. Futerał jest lekki i cienki, stanowi dobrą ochronę przed zabrudzeniami oraz zarysowaniami. Posiada funkcję automatycznego wybudzania i usypiania urządzenia. Ustawienie poziome Niezależnie od tego czy czytasz, piszesz lub oglądasz swój ulubiony film - dzięki regulowanej podpórce możesz to robić jeszcze lepiej i wygodniej. Slot na rysik Futerał dodatkowo posiada specjalnie zaprojektowane wycięcie na rysik Apple. Kompatybilność wsteczna Pokrowiec pasuje także na wcześniejszą wersję iPada Pro 11 z 2018 roku, jedynie wycięcie na aparat będzie lekko większe.",129.27,159,0.2,1
26451,"Etui do iPad Pro 11 2022/2021/2020/2018, Spigen Ultra Hybrid Pro v2, przezroczyste / czarne",1,Etui na tablet,"Etui Spigen Ultra Hybrid Pro iPad Pro 11 4 gen. 2022 (A2759, A2435, A2761, A2762)iPad Pro 11 3 gen. 2021 (A2377, A2459, A2301, A2460)iPad Pro 11 2 gen. 2020 (A2228, A2068, A2230, A2231)iPad Pro 11 1 gen. 2018 (A1980, A2013, A1934, A1979) Hybrydowa konstrukcja Nowoczesne etui od marki Spigen z serii Ultra Hybrid Pro, wykonane z połączenia wysokiej jakości termoplastycznego poliuretanu oraz trwałego poliwęglanu. Hybrydowy pokrowiec z klapką o transparentnych pleckach, zapewniający solidną ochronę, stylowy wygląd oraz dobry chwyt. Posiada wygodny uchwyt na rysik Apple. Kolor producenta: Black Etui kompatybilne ze szkłami o wymiarach nie przekraczających (dług.szer.przek.): 24,50 x 17,50 x 29,11 cm Doskonale dopasowane Nowoczesne etui Ultra Hybrid Pro z klapką z magnetycznym zamykaniem, zachowujące smukły profil urządzenia. Elegancka klapka zabezpiecza ekran przed zarysowaniami, a transparentne plecki ukazują oryginalny wygląd i kolor urządzenia. Stylowe etui z klapką Dobrze leży w dłoni, a lekko wystające krawędzie chronią kamerę i ekran przed zarysowaniami na płaskich powierzchniach. Wnętrze klapki zostało wykończone delikatną mikrofibrą, która stanowi dodatkowe zabezpieczenie dla ekranu. Precyzyjne wycięcia Zapewniają swobodny dostęp do wszystkich interfejsów urządzenia. Niezwykle funkcjonalne i wygodne w użytkowaniu. Posiada responsywne osłony na przyciski i wygodne wycięcia na porty. Dwupoziomowa funkcja Stand Dzięki składanej klapce możliwe jest ułożenie urządzenia w wygodnej pozycji zarówno do pisania czy rysowania, jak i do swobodnego przeglądania multimediów, co pozwoli Ci ułożyć iPada pod odpowiednim kątem w zależności od Twoich potrzeb. Wzmocniona konstrukcja Dzięki technologii Air Cushion, czyli poduszek powietrznych umiejscowionych w narożnikach zapewnia dodatkową ochronę od wstrząsów przy minimalnych gabarytach oraz wadze. Funkcjonalna klapka umożliwia wybudzanie i usypianie urządzenia podczas jej otwierania i zamykania. Nowoczesny design z uchwytem na rysik Spigen Ultra Hybrid Pro został wykończony transparentnymi pleckami nadając nowoczesnego stylu, nie zakrywając przy tym oryginalnego wyglądu urządzenia ani jego fabrycznego koloru. Dodatkowo posiada specjalnie zaprojektowany uchwyt na rysik.",161.79,199,0.2,10
34006,"Etui do iPad Air 11"" / 10.9"" 2020-2025 / Pro 11"" 2018-2022, Urban Armor UAG Plyo, przezroczyste/czarne",1,Etui na tablet,"Etui Urban Armor Gear Plyo Apple iPad Air 11 M3 7 gen. 2025 (A3266, A3267, A3270)Apple iPad Air 11 M2 6 gen. 2024 (A2902, A2903, A2904)Apple iPad Air 5 10.9 2022 (A2588, A2589, A2591)Apple iPad Air 4 10.9 2020 (A2316, A2324, A2325, A2072))iPad Pro 11 4 gen. 2022 (A2759, A2435, A2761, A2762)iPad Pro 11 3 gen. 2021 (A2377, A2459, A2301, A2460)iPad Pro 11 2 gen. 2020 (A2228, A2068, A2230, A2231)iPad Pro 11 1 gen. 2018 (A1980, A2013, A1934, A1979) Materiał najwyższej jakości Oryginalne etui z klapką od marki Urban Armor Gear z serii Plyo. Wykonane z połączenia wysokiej jakości wytrzymałych materiałów, takich jak poliwęglan oraz TPU. Wykończone skórą ekologiczną oraz wyściółką z mikrofibry. W pełni funkcjonalne, posiada uchwyt na rysik. Model ten został wydany przez producenta w wersji Bulk (zapakowany w folii ochronnej). Kolor producenta: Black Ice ( czarne z przezroczystymi pleckami) Etui kompatybilne ze szkłami o wymiarach nie przekraczających (dług.szer.przek.): 24,47 x 17,50 x 29,12 cm Pancerne i wytrzymałe Wysoka odporność na uderzenia i wstrząsy. Pokrowiec zabezpieczy Twoje urządzenie od upadków, dzięki wzmocnionym narożnikom oraz solidnym materiałom wykonania zapewniającą doskonałą ochronę podczas upadku. Funkcjonalne Etui posiada uchwyt na rysik, a dzięki przyjemnej w dotyku strukturze z jakiej zostało wykonane etui, nie musisz się martwić o wyślizgnięcie etui z rąk. Przezroczyste plecki etui świetnie prezentują oryginalny wygląd urządzenia. Wygodne zamykanie w formie klapki umożliwia pozycjonowanie iPada w dogodnej pozycji do przeglądania multimediów, pisania czy wideo rozmów a także chroni front urządzenia przed zarysowaniami. Logo firmy UAG dodaje oryginalności, a całość przy swojej solidnej budowie prezentuje się bardzo stylowo. Dopasowane do urządzenia Dobrze leży w dłoni, a lekko wystające krawędzie chronią kamerę i ekran przed zarysowaniami na płaskich powierzchniach. Precyzyjne wycięcia na porty i złącza. Cienkie i lekkie Nie pogrubia znacząco urządzenia. Jest maksymalnie cienkie dla tego typu konstrukcji, dzięki czemu zapewnia solidną ochronę, praktyczną lekkość i smukły wygląd.",243.09,299,0.2,10
50117,"Etui Bizon Case Tab Clear Matt do iPad 9/8/7 10.2 2021/2020/2019, czarne",1,Etui na tablet,"Bizon Case Tab Clear Matt Apple iPad 9. gen. 2021 (A2602, A2603, A2604, A2605) Apple iPad 8. gen. 2020 (A2270, A2428, A2429, A2430)Apple iPad 7. gen. 2019 (A2197, A2200, A2198) Zapobiegnij serii niefortunnych zdarzeń Once you go matt, you never go back. Etui od producenta Bizon z serii Tab Clear Matt ochroni Twój tablet przed zabrudzeniami, zarysowaniami i drobnymi upadkami i przyjmie na klatę (plecy) codzienne przeciwności losu, takie jak kropelki kawy bombardujące tył tabletu, MMA z kluczami w plecaku czy pospieszne odłożenie urządzenia AKURAT na krawędź blatu. Kolor producenta: BlackLogo występuje w różnych wariantach kolorystycznych i może odbiegać od przedstawionego na zdjęciach. Etui kompatybilne ze szkłami* o wymiarach nieprzekraczających (dług.szer.przek.): 24,82 x 17,24 x 29,34 cm * Przy doborze ochrony ekranu zwróć uwagę, aby szkło było mniejsze niż wymiary wewnętrzne pokrowca. Przedmiotem sprzedaży jest samo etui, pozostałe akcesoria widoczne na zdjęciach służą jedynie przedstawieniu jego funkcjonalności. Matowe etui wyreżyserowane przez Bizona Boisz się, że po założeniu etui, tablet zacznie sam klikać, a kiedy Ty będziesz chciał zwiększyć głośność, to strzeli na Ciebie focha i zamiast tego się wyłączy? Tak jest tylko na filmach. A Bizon Tab Clear Matt, oprócz hybrydowej konstrukcji z TPU na ramce, twardego akrylu na pleckach oraz poliuretanu wykończonego matem od zewnątrz, cechuje się utrzymaną płynnością działania przycisków! Wzmocnione narożniki załagodzą nieco Twój szok i impet uderzenia, a ukryta w środku pokrowca mikrofibra dodatkowo otuli i zabezpieczy urządzenie. Odpowiedź: rysik Co to: zawsze potrzebny, a nigdy go nie ma? Znający zasadę nagłego znikania, Tab Clear Matt może przechować to jakże cenne narzędzie pracy w dedykowanym slocie wewnątrz obudowy! Proszę wstać, Tab Clear Matt idzie Może i nie nadaje się jako papier origami, ale odpowiednio złożony pokrowiec zamieni się w podstawkę, dzięki której wygodnie przeczytasz artykuł, zagrasz w grę czy obejrzysz odcinek serialu. Tablet nie człowiek, skąd ma wiedzieć, kiedy się położyć i wstać? Dzięki funkcji automatycznego wybudzania i usypiania*! Uniesienie klapki aktywuje urządzenie, a zamknięcie - powie mu dobranoc. *Kompatybilna z wybranymi modelami tabletów.",96.75,119,0.2,5
117858,"OUTLET: Uchwyt samochodowy zagłówkowy FIXED Tab Passenger 2 dla urządzeń o przekątnej od 7 do 11"", czarny",1,Uchwytna tablet,"ℹ Produkt pochodzi z outletu!Na aukcji kupujesz produkt, który nie kwalifikuje się do sprzedaży jako pełnowartościowy z powodu uszkodzonego lub rozpakowanego opakowania, dlatego oferujemy go w obniżonej cenie!Każdy produkt jest sprawdzony i w pełni sprawny, posiada pełną gwarancję producenta oraz wsparcie techniczne sklepu.OUT_2512090123Uchwyt zagłówkowy FIXED Tab Passenger 2 Uniwersalny dla urządzeń między 7 - 11 Dla tabletów i telefonów Uniwersalny uchwyt zagłówkowy na tablet telefon od firmy FIXED. Sprawdzi się świetnie jako umilacz dla pasażerów siedzących z tyłu. Masz dzieci? Pozwól sobie na odrobine luksusu podczas jazdy i zrób dla nich własne, małe kino samochodowe. Nie ma znaczenia kto siedzi z tyłu, ponieważ dzięki dwóm regulowanym częściom ramienia oraz przegubowi obrotowemu 360 można łatwo dostosować uchwyt do potrzeb każdego. Rodzaj trzymania urządzenia: chwyt zaciskowy dla urządzeń między 7 a 11 (szerokość: od 12,5 cm do 20,5 cm) Mocowanie uchwytu: na zagłówek fotela samochodowego o rozstawie wewnętrznym od 10,26 cm do 14,9cm Kolor producenta: Black (czarny) Gumowe i silne wykończenie Gumowe wykończenia znajdujące się w wewnętrznej części uchwytu zmniejszają ryzyko wypadnięcia urządzenia podczas jazdy na wyboistych drogach, a także niwelują możliwość porysowania się czy uszkodzenia boków i plecków urządzenia. Klipy mocujące pozwolą na stabilne i silne trzymanie urządzenia. Rozkładają się w zakresie od 12,5 cm do 20,5 cm i z łatwością utrzymują tablety telefony o przekątnej od 7 do 11 cali. Szeroka kompatybilność Uchwyt montuje się między prętami zagłówka samochodowego, dzięki regulowanemu patentowi, dostosowuje się do każdego zagłówka między ok. od 10,2 cm do 14 cm. Ruchoma głowica Ruchoma głowica na której umieszczony zostaje uchwyt pozawala na swobodny obrót uchwytu o 360 stopni, co sprawia, że w łatwy sposób możesz dostosować do swoich potrzeb zarówno kąt jak i orientację pionową czy poziomą swojego urządzenia, co zwiększa komfort w trakcie korzystania z uchwytu. Boczny otwór Kończy się bateria w Twoim sprzęcie podczas użytkowania w trakcie jazdy? Nic się nie martw, producent również przewidział taką ewentualność i stworzył boczny otwór w uchwycie, który pozwoli Ci podłączyć kabel do urządzenia, bez wyjmowania go z uchwytu. Uchwyt w praktyce",38.37,47.2,0.2,0
92282,"Uchwyt biurkowy na telefon / tablet, AWEI X3, długie ramię, biały",1,Stojak na tablet,"Uchwyt biurkowy AWEI X3, długie ramiędla telefonów tabletów 4 - 10,5Uniwersalny uchwyt do biurkaAWEI X3 to praktyczny uchwyt biurkowy, który sprawdzi się zarówno jako stojak do tabletu, jak i smartfona. Jego funkcjonalność i nowoczesny wygląd czynią go świetnym wyborem do domu, biura czy nauki zdalnej. Uchwyt jest kompatybilny z urządzeniami o przekątnej ekranu od 4 do 10,5 cala, co zapewnia dużą elastyczność użytkowania. Dzięki stabilnej konstrukcji i przemyślanej formie zapewnia komfortową obsługę sprzętu bez konieczności trzymania go w dłoni.W opakowaniu: Uchwyt biurkowyKolor producenta: White (biały)Długie ramię i pełna swobodaUchwyt został wyposażony w elastyczne, długie ramię o długości aż 75 cm, które można dowolnie formować, aby uzyskać idealny kąt widzenia. Rekomendowany układ w kształcie litery S lub Z zwiększa stabilność całej konstrukcji. Ramię jest wystarczająco sztywne, by utrzymać urządzenie w stałej pozycji, a jednocześnie na tyle giętkie, aby można je było łatwo dostosować do własnych preferencji bez większego wysiłku.Pewne mocowanie i ochronaRegulowany zacisk montażowy umożliwia bezpieczne przymocowanie uchwytu do różnych powierzchni, takich jak biurka, stoły czy szafki o grubości do 8 cm. Silikonowe elementy mocujące chronią meble przed zarysowaniem i zapobiegają przesuwaniu się uchwytu. Dzięki ruchomej głowicy możliwe jest obracanie urządzenia w zakresie 360 stopni, co pozwala na ustawienie ekranu w najbardziej komfortowej pozycji, zarówno w pionie, jak i poziomie.",20.33,25,0.2,4
118004,"OUTLET: Rysik Baseus Smooth Writing 2 Overseas z ładowaniem indukcyjnym do iPad / iPad Pro / iPad Air / Mini (2018-2022), biały",1,Rysik do tabletu,"ℹ Produkt pochodzi z outletu!Na aukcji kupujesz produkt, który nie kwalifikuje się do sprzedaży jako pełnowartościowy z powodu uszkodzonego lub rozpakowanego opakowania, dlatego oferujemy go w obniżonej cenie!Każdy produkt jest sprawdzony i w pełni sprawny, posiada pełną gwarancję producenta oraz wsparcie techniczne sklepu.OUT_2512110041Rysik Baseus Smooth Writing 2 Series Magnetic Wireless Charging Apple iPad Pro 12,9 6 gen. 2022 (A2436, A2764, A2437, A2766)Apple iPad Pro 12,9 5 gen. 2021 (A2378, A2461, A2379, A2462)Apple iPad Pro 12,9 4 gen. 2020 (A2229, A2069, A2232, A2233)Apple iPad Pro 12,9 3 gen. 2018 (A1876, A1983, A1895, A2014)Apple iPad Pro 11 4 gen. 2022 (A2759, A2435, A2761, A2762)Apple iPad Pro 11 3 gen. 2021 (A2377, A2459, A2301, A2460)Apple iPad Pro 11 2 gen. 2020 (A2228, A2068, A2230, A2231)Apple iPad Pro 11 1 gen. 2018 (A1980, A2013, A1934, A1979)Apple iPad Air 10,9 5 gen. 2022 (A2588, A2589, A2591)Apple iPad Air 10,9 4 gen. 2020 (A2316, A2324, A2325, A2072)Apple iPad Mini 8.3 6 gen. 2021 (A2567, A2568, A2569) Jeszcze płynniej i przyjemniej Firma Baseus stworzyła rysik do jeszcze przyjemniejszej i niezwykle gładkiej obsługi iPada. Możesz pisać, rysować, czy szkicować bez żadnych zmiennych zakłócających, rysik popłynie idealnie po ekranie, zostawiając doskonale równy ślad po sobie. Kontrola poziomu baterii - Dioda LED określająca poziom naładowania Materiał: ABS PC Bateria: 125mAh W zestawie: 1x rysik, 1x końcówka rysika (aktywna), instrukcja obsługi Wymiary rysika: 166 x 9 mm Waga: 12,5 g Kolor producenta: White (biały) Korzystaj, jak Ci wygodnie Cała konstrukcja jest trwała i solidna, wykonana z połączenia stopu aluminium i miedzianej końcówki. Urządzenie wspiera funkcję Palm rejection, czyli ignorowanie dłoni - zapobiega przypadkowemu rysowaniu lub interakcji palców lub dłoni z ekranem podczas korzystania z rysika. Dzięki temu użytkownik może swobodnie oprzeć dłoń na ekranie, aby uzyskać stabilne oparcie podczas pisania lub rysowania, bez obawy o przypadkowe interakcje. Długa praca na baterii W pełni naładowany rysik pozwala nawet na 10 godzin ciągłej pracy. Bateria o pojemności 125mAh w stanie czuwania wytrzymuje 12 miesięcy. Ładowanie odbywa się za pośrednictwem ładowania bezprzewodowego. Czas użytkowania: 10 godzin ciągłego użytkowania przy pełnym naładowaniu Czas czuwania: 12 miesięcy z w pełni naładowany Czas ładowania bezprzewodowo: 1 godzina Magnetyczne mocowanie Kształt i niska waga sprawiają, że korzystanie z rysika jest wygodne i przyjemne. Za sprawą magnetycznej obudowy zawsze jest pod ręką, a ryzyko, że się zgubi - spada niemal do zera. Zaraz po wyjęciu z opakowania jest gotowy do użytku bez konieczności instalowania aplikacji. Łatwe łączenie Diody LED pokazują stan naładowania baterii: dioda LED określa poziom naładowania: niebieska: 100-70, zielona: 70-30, czerwona: poniżej 30, pulsująca czerwona: potrzeba naładowania.",83.9,103.2,0.2,8
